Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
USD Fiyat Listesi;PostgreSQL Veritabanı Yönetimi-Gelişmiş;Adet;97.81
USD Fiyat Listesi;Offisite Yedekleme Hizmeti;GB;0.02
TL Fiyat Listesi;Offisite Yedekleme Hizmeti;GB;0.89
Euro Fiyat Listesi;Offisite Yedekleme Hizmeti;GB;0.02
USD Fiyat Listesi;Offsite Backup Disk Alanı (Veeam);GB;0.02
TL Fiyat Listesi;Offsite Backup Disk Alanı (Veeam);GB;0.89
Euro Fiyat Listesi;Offsite Backup Disk Alanı (Veeam);GB;0.02
USD Fiyat Listesi;Public Cloud - Accelerated_CH96s_v6;Adet;6250.0
TL Fiyat Listesi;Public Cloud - Accelerated_CH96s_v6;Adet;279678.13
Euro Fiyat Listesi;Public Cloud - Accelerated_CH96s_v6;Adet;5303.99
TL Fiyat Listesi;CSP - Office 365 E5;per User;1498.63
TL Fiyat Listesi;Ubuntu Pro + Infra Support (24/7) - Virtual;per VM;7167.37
TL Fiyat Listesi;Ubuntu Pro + Infra Support (weekday) - Virtual;per VM;2903.28
TL Fiyat Listesi;Ubuntu Pro + Support (24/7) - Virtual;per VM;11150.88
TL Fiyat Listesi;Ubuntu Pro + Support (weekday) - Virtual;per VM;5580.14
TL Fiyat Listesi;Bulutistan Destek Hizmeti 7x24;per VM;616.19
TL Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – 200 Mbps (HA);Adet;68819.17
TL Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – 1 Gbps (HA);Adet;110966.88
TL Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – 5 Gbps (HA);Adet;201865.41
TL Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – Yönetim Hizmeti;Adet;26636.1
TL Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı Load Balancer – 50 Mbps (HA) + Yönetim Hizmeti;Adet;36277.16
TL Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı Load Balancer – 100 Mbps (HA) + Yönetim Hizmeti;Adet;36595.77
TL Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı Load Balancer – 200 Mbps (HA) + Yönetim Hizmeti;Adet;37232.54
TL Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı WAF & LB – 50 Mbps (HA) + Yönetim Hizmeti;Adet;44267.9
